time,00_bitset1,00_bitset2,00_bitset3,01_mm1,01_mm2,01_mm3,02_mv1,02_mv2,02_mv3,03_sort1,03_sort2,03_sort3,04_spmv1,04_spmv2,04_spmv3,brainfuck-bootstrap,brainfuck-mandelbrot-nerf,brainfuck-pi-nerf,conv0,conv1,conv2,crypto-1,crypto-2,crypto-3,dead-code-elimination-1,dead-code-elimination-2,dead-code-elimination-3,fft0,fft1,fft2,floyd-0,floyd-1,floyd-2,gameoflife-gosper,gameoflife-oscillator,gameoflife-p61glidergun,hoist-1,hoist-2,hoist-3,instruction-combining-1,instruction-combining-2,integer-divide-optimization-1,integer-divide-optimization-2,integer-divide-optimization-3,median0,median1,median2,shuffle0,shuffle1,shuffle2,sl1,sl2,sl3,stencil0,stencil1,transpose0,transpose1,transpose2
2022-07-27 11:18:01,2362264,4705079,6742827,9235350,8272866,6327732,5856605,2477308,4547513,1414203,22559434,4368994,4888421,3135145,3417356,18667667,56835477,3053727,11847883,20037882,14782623,4342831,3558826,4723399,57,5723,576283,6671051,14272634,13758623,85,66932,33360515,23280489,20686159,20807416,83638,-1,-1,42942,10936484,471072,-1,-1,4699181,3541189,27852669,6068169,9333812,4044726,9401837,3536281,1734219,46348,116399,3868064,4247767,10467328
2022-07-27 12:21:52,2171316,4330162,7194133,9212970,8270179,6347933,5861196,2464081,4548294,1414317,22576279,4370301,4854921,3089398,3386946,18667667,56835477,3053727,11854224,20040456,14787450,4455414,3613843,4783751,57,5723,576283,6707275,14373411,13747837,85,66403,33075562,23280887,20701972,20632231,83638,-1,-1,42942,10936484,471225,-1,-1,4696971,3539321,27864943,6614351,9396264,4087894,9483577,3504109,1772822,45895,112275,3846451,4247917,10631091
2022-07-27 22:15:09,2285669,4480920,6725552,9226570,8307071,6341291,5847152,2459314,4543593,1410030,22678282,4394978,4872867,3709392,3403864,18639591,56805922,3060407,11842288,20072695,14778430,4328607,3545542,4696833,57,5723,576283,6712167,14297610,13841990,85,66928,33434173,23300852,20685468,20632156,83768,-1,-1,42942,10936484,451906,-1,-1,4696859,3539236,27863804,6068169,9333812,4044726,9369185,3503702,1727913,49779,123752,3842937,4251526,10661559
2022-07-27 22:34:02,2230172,4335113,6501224,8899331,7897176,5975586,5382158,2049260,4270519,1190678,18752198,3613846,4651319,2992522,3130406,14011100,39584196,2275945,11546185,19161238,14159434,-1,-1,-1,46,4635,459176,6482042,13811581,13312396,66,49405,24509931,22125098,19623777,19593010,83618,-1,-1,42760,10934475,472561,-1,-1,3172726,1771462,18107745,6836584,9426147,3945120,9444506,3479850,1710796,47628,134384,3580254,3766019,9485200
2022-07-28 00:56:36,2176562,4333955,6593153,8899331,7897176,5975586,5392327,2042628,4269466,1178260,18519270,3545562,4651319,2992522,3130406,14435865,40063198,2339234,11529452,19108873,14131189,4266816,3493099,4626517,46,4624,459103,6482042,13811581,13312396,66,49405,24509931,22125098,19623777,19593010,83844,-1,-1,42760,10934475,483655,-1,-1,3139662,1770831,18101289,6183184,9385243,3957338,9343998,3462283,1712261,45611,135620,3540853,3803093,9675599
2022-07-28 01:12:58,2239885,4480831,6571916,8846259,7887622,5982604,5389179,2043502,4268177,1166892,18304970,3567846,4655347,2909578,3179367,14411861,40068980,2339778,11559490,19147772,14155591,4303492,3529151,4666267,46,4624,459103,6448029,13709260,13213044,67,49417,24545630,22131164,19672973,19718577,83638,-1,-1,42760,10934475,469437,-1,-1,3133512,1770942,18115469,6183184,9385243,3957338,9390368,3488374,1702790,52555,129388,3583680,3769184,9555235
2022-07-29 12:10:01,2123204,4377480,6248072,8872335,7900592,5991363,5491391,2045954,4291641,1154637,17402908,3441297,4643784,2889777,3102354,14744266,40471027,2274793,11567016,19041933,14105144,4267225,3496931,4627441,46,4635,459176,6296841,13470106,12931397,63,47122,23402326,16242915,14411503,14659622,83620,-1,-1,42760,10934475,266445,-1,-1,3134809,1776228,19484678,6772179,9357909,3744378,8272251,3214066,1586392,43073,140405,3291493,3136394,9271718
2022-07-29 19:31:23,2034162,3985916,6056940,8845332,7889570,5964344,5473203,2043198,4275740,1150031,17549255,3452374,4595880,2894845,3119859,14362085,38860406,2240635,10854365,17993960,13271740,4297915,3493047,4622920,47,4588,459460,6138527,13104816,12679995,63,47022,23392970,16226577,14386239,14507995,83783,-1,-1,42952,10933092,261124,-1,-1,3135296,1771777,19482933,6675399,9407564,3804992,8239338,3193728,1573999,51897,147745,3280226,3133125,9311288
2022-07-29 19:55:49,2034162,3985916,6056940,8845332,7889570,5964344,5473203,2043198,4275740,1150031,17549255,3452374,4595880,2894845,3119859,14362085,38860406,2240635,10854365,17993960,13271740,4297915,3493047,4622920,47,4588,459460,6138527,13104816,12679995,63,47022,23392970,16226577,14386239,14507995,83783,-1,-1,42952,10933092,261124,-1,-1,3135296,1771777,19482933,6675399,9407564,3804992,8239338,3193728,1573999,51897,147745,3280226,3133125,9311288
2022-07-31 02:05:41,2035225,3994496,6358854,8845332,7889570,5964344,5482559,2042747,4274226,1202142,18477312,3617627,4620528,2885827,3140161,14406575,41283969,2312411,10836380,18019834,13279138,4378239,3558341,4708909,47,4597,460046,6136108,13145049,12598359,62,46983,23387297,16227389,14393055,14544041,2089,2056861,20567177,35,8698,244947,-1,-1,3278809,2292533,20708435,7062642,9340557,3741770,8281288,3207158,1576247,44692,158879,3304662,3196477,9409788
2022-08-01 14:14:56,1907336,3794597,5711346,8866978,7895422,5971265,5205045,1908563,4025077,1077669,17697146,3385202,4879238,2890454,3190450,13631988,37881409,2142954,10783567,17818143,13084563,4205403,3447600,4553841,47,4655,459633,6045607,12929930,12471605,61,44781,22261454,12738091,11312839,11568094,83529,-1,-1,42746,10936039,262368,-1,-1,3133040,1771371,18097193,7154387,9305550,3617222,7887169,3102466,1545548,50217,118353,3228745,2989036,9182114
2022-08-01 16:03:23,2049238,3942853,5870596,8842694,7902322,5977564,5476677,2045616,4272777,1202754,18410262,3618103,4614498,2980196,3139853,14719886,34699863,2214740,10819360,17971281,13271293,4371084,3582210,4766722,47,4625,462208,6135401,13094399,12673487,64,46984,23398000,16224321,14407570,14735825,1557,1549973,15336587,35,8749,59470,30152151,-1,3375001,2528232,20032396,6814997,9285589,3695613,8146882,3210095,1579923,44624,140160,3194353,3071209,9236635
2022-08-01 16:23:37,2049238,3942853,5870596,8842694,7902322,5977564,5476677,2045616,4272777,1202754,18410262,3618103,4614498,2980196,3139853,14719886,34699863,2214740,10819360,17971281,13271293,4371084,3582210,4766722,47,4625,462208,6135401,13094399,12673487,64,46984,23398000,16224321,14407570,14735825,1557,1549973,15336587,35,8749,59470,30152151,-1,3375001,2528232,20032396,6814997,9285589,3695613,8146882,3210095,1579923,44624,140160,3194353,3071209,9236635
2022-08-01 18:49:06,2049238,3942853,5870596,8842694,7902322,5977564,5476677,2045616,4272777,1202754,18410262,3618103,4614498,2980196,3139853,14719886,34699863,2214740,10854056,17979022,13261230,4371084,3582210,4766722,47,4625,462208,6135401,13094399,12673487,64,46984,23398000,16224321,14407570,14735825,1350,1350225,13501879,35,8749,43090,22127119,-1,3375001,2528232,20032396,6814997,9285589,3695613,8146882,3210095,1579923,44624,140160,3194353,3071209,9236635
2022-08-01 19:39:18,1907336,3794597,5711346,8866978,7895422,5971265,5205045,1908563,4025077,1077669,17697146,3385202,4879238,2890454,3190450,13631988,37881409,2142954,10850824,17858866,13118100,4199407,3442535,4554695,47,4655,459633,6045607,12929930,12471605,62,44260,21964144,12738091,11305304,11503144,83529,-1,-1,42746,10936039,262368,-1,-1,3133040,1771371,18097193,7154387,9305550,3617222,7887169,3102466,1545548,106413,208696,3043985,2936356,9096029
2022-08-01 21:45:12,1942776,3795529,5722706,8873521,7898594,5990477,5210001,1911248,4036316,1147150,17571669,3412215,4731834,2930284,3033702,13590745,32331007,2055911,10789837,17823228,13091776,4319913,3539583,4684925,46,4597,502228,5987247,12900485,12355881,60,44311,21969863,12756123,11325156,11561438,1390,1292441,12964819,35,8670,43156,22132792,-1,3359433,2396167,19860780,6510613,9387556,3649347,7805378,3087547,1534029,52198,204370,3097893,2859376,9130998
